bookId,Title,Author,Genre,SubGenre,Height,Publisher
68,"Computer Vision, A Modern Approach","Forsyth, David",tech,signal_processing,255,Pearson
69,Principles of Communication Systems,"Taub, Schilling",tech,signal_processing,240,TMH
70,Let Us C,"Kanetkar, Yashwant",tech,computer_science,213,Prentice Hall
71,"Amulet of Samarkand, The","Stroud, Jonathan",fiction,novel,179,Random House
72,Crime and Punishment,"Dostoevsky, Fyodor",fiction,classic,180,Penguin
73,Angels & Demons,"Brown, Dan",fiction,novel,178,Random House
74,"Argumentative Indian, The","Sen, Amartya",nonfiction,history,209,Picador
75,Sea of Poppies,"Ghosh, Amitav",fiction,novel,197,Penguin
76,"Idea of Justice, The","Sen, Amartya",philosophy,economics,212,Penguin
77,"Raisin in the Sun, A","Hansberry, Lorraine",fiction,novel,175,Penguin
78,All the President's Men,"Woodward, Bob",nonfiction,history,177,Random House
79,"Prisoner of Birth, A","Archer, Jeffery",fiction,novel,176,Pan
80,Scoop!,"Nayar, Kuldip",nonfiction,history,216,HarperCollins
81,Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,autobiography,213,Mauj
82,"Last Mughal, The","Dalrymple, William",nonfiction,history,199,Penguin
83,"Social Choice & Welfare, Vol 39 No. 1",Various,tech,economics,235,Springer
85,Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,misc,213,Mauj
86,Gun Gayin Awadi,"Deshpande, P L",nonfiction,misc,212,Mauj
87,Aghal Paghal,"Deshpande, P L",nonfiction,misc,212,Mauj
88,Maqta-e-Ghalib,"Garg, Sanjay",nonfiction,poetry,221,Mauj
89,Beyond Degrees,,philosophy,education,222,HarperCollins
92,Manasa,"Kale, V P",nonfiction,misc,213,Mauj
93,India from Midnight to Milennium,"Tharoor, Shashi",nonfiction,history,198,Penguin
94,"World's Greatest Trials, The",,nonfiction,history,210,
95,"Great Indian Novel, The","Tharoor, Shashi",fiction,novel,198,Penguin
96,O Jerusalem!,"Lapierre, Dominique",nonfiction,history,217,vikas
97,"City of Joy, The","Lapierre, Dominique",fiction,novel,177,vikas
99,Freedom at Midnight,"Lapierre, Dominique",nonfiction,history,167,vikas
100,"Winter of Our Discontent, The","Steinbeck, John",fiction,classic,196,Penguin
101,On Education,"Russell, Bertrand",philosophy,education,203,Routledge
102,Free Will,"Harris, Sam",nonfiction,psychology,203,FreePress
103,Bookless in Baghdad,"Tharoor, Shashi",nonfiction,history,206,Penguin
104,"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,novel,179,
105,"Theory of Everything, The","Hawking, Stephen",science,physics,217,Jaico
106,New Markets & Other Essays,"Drucker, Peter",science,economics,176,Penguin
107,Electric Universe,"Bodanis, David",science,physics,201,Penguin
108,"Hunchback of Notre Dame, The","Hugo, Victor",fiction,classic,175,Random House
110,Burning Bright,"Steinbeck, John",fiction,classic,175,Penguin
111,"Age of Discontuinity, The","Drucker, Peter",nonfiction,economics,178,Random House
112,Doctor in the Nude,"Gordon, Richard",fiction,novel,179,Penguin
113,Down and Out in Paris & London,"Orwell, George",nonfiction,autobiography,179,Penguin
116,Identity & Violence,"Sen, Amartya",philosophy,philosophy,219,Penguin
117,Beyond the Three Seas,"Dalrymple, William",nonfiction,history,197,Random House
118,"World's Greatest Short Stories, The",,fiction,classic,217,Jaico
119,Talking Straight,"Iacoca, Lee",nonfiction,autobiography,175,
121,"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,classic,171,Vintage
122,"Phantom of Manhattan, The","Forsyth, Frederick",fiction,classic,180,
123,Ashenden of The British Agent,"Maugham, William S",fiction,classic,160,Vintage
125,Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,autobiography,172,Vintage
126,"Great War for Civilization, The","Fisk, Robert",nonfiction,history,197,HarperCollins
128,We the Living,"Rand, Ayn",fiction,novel,178,Penguin
129,"Artist and the Mathematician, The","Aczel, Amir",science,mathematics,186,HighStakes
132,History of Western Philosophy,"Russell, Bertrand",philosophy,philosophy,213,Routledge
135,Selected Short Stories,,fiction,classic,215,Jaico
137,Rationality & Freedom,"Sen, Amartya",science,economics,213,Springer
140,Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history,228,Simon&Schuster
141,Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology,197,Fontana
144,One,"Bach, Richard",nonfiction,autobiography,172,Dell
145,Karl Marx Biography,,nonfiction,autobiography,162,
146,To Sir With Love,Braithwaite,fiction,classic,197,Penguin
147,Half A Life,"Naipaul, V S",fiction,novel,196,
148,"Discovery of India, The","Nehru, Jawaharlal",nonfiction,history,230,
149,Apulki,"Deshpande, P L",nonfiction,misc,211,
150,Unpopular Essays,"Russell, Bertrand",philosophy,philosophy,198,
151,"Deceiver, The","Forsyth, Frederick",fiction,novel,178,
152,Veil: Secret Wars of the CIA,"Woodward, Bob",nonfiction,history,171,
153,Char Shabda,"Deshpande, P L",nonfiction,misc,214,
154,Rosy is My Relative,"Durrell, Gerald",fiction,novel,176,
155,"Moon and Sixpence, The","Maugham, William S",fiction,classic,180,
156,Political Philosophers,,philosophy,politics,162,
157,"Short History of the World, A","Wells, H G",nonfiction,history,197,
158,"Trembling of a Leaf, The","Maugham, William S",fiction,novel,205,
159,Doctor on the Brain,"Gordon, Richard",fiction,novel,204,
160,Simpsons & Their Mathematical Secrets,"Singh, Simon",science,mathematics,233,
161,Pattern Classification,"Duda, Hart",tech,data_science,241,
162,From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,history,202,
163,"Code Book, The","Singh, Simon",science,mathematics,197,
164,"Age of the Warrior, The","Fisk, Robert",nonfiction,history,197,
165,Final Crisis,,fiction,comic,257,
166,"Killing Joke, The",,fiction,comic,283,
168,Flashpoint,,fiction,comic,265,
169,Batman Earth One,,fiction,comic,265,
170,Crisis on Infinite Earths,,fiction,comic,258,
171,"Numbers Behind Numb3rs, The","Devlin, Keith",science,mathematics,202,
172,Superman Earth One - 1,,fiction,comic,259,
173,Superman Earth One - 2,,fiction,comic,258,
174,Justice League: Throne of Atlantis,,fiction,comic,258,
175,Justice League: The Villain's Journey,,fiction,comic,258,
176,"Death of Superman, The",,fiction,comic,258,
177,History of the DC Universe,,fiction,comic,258,
178,Batman: The Long Halloween,,fiction,comic,258,
179,"Life in Letters, A","Steinbeck, John",nonfiction,autobiography,196,
180,"Information, The","Gleick, James",science,mathematics,233,
181,"Journal of Economics, vol 106 No 3",,science,economics,235,
183,Elements of Information Theory,"Thomas, Joy",tech,signal_processing,229,
184,Power Electronics - Rashid,"Rashid, Muhammad",tech,computer_science,235,
185,Power Electronics - Mohan,"Mohan, Ned",tech,computer_science,237,
186,Neural Networks,"Haykin, Simon",tech,data_science,240,
187,"Grapes of Wrath, The","Steinbeck, John",fiction,classic,196,
188,Vyakti ani Valli,"Deshpande, P L",nonfiction,misc,211,
